game_id,team,opponent,is_home,goals_for,goals_against,result,shots,shots_on_target,goals,box_entries,final_third_entries,crosses_attempted,crosses_success_rate,progressive_passes_success,passes_attempted,pass_success_rate,long_pass_attempted,recoveries,interceptions,tackles,duels_success_rate,defensive_third_turnovers
126283,울산 HD FC,포항 스틸러스,True,1,0,win,11,0,1,11,42,17,0.29411764705882354,94,578,0.8667820069204152,81,82,37,17,1.0,48
126284,전북 현대 모터스,대전 하나 시티즌,True,1,1,draw,16,0,1,19,45,33,0.24242424242424243,113,522,0.8773946360153256,105,100,51,33,1.0,62
126285,광주FC,FC서울,True,2,0,win,15,0,2,11,23,17,0.29411764705882354,72,359,0.883008356545961,61,69,53,26,1.0,87
126286,인천 유나이티드,수원FC,True,0,1,loss,8,0,0,17,41,32,0.15625,98,560,0.8785714285714286,74,83,55,13,1.0,40
126287,강원FC,제주SK FC,True,1,1,draw,17,0,1,9,28,15,0.13333333333333333,80,406,0.8300492610837439,79,84,49,22,1.0,88
126288,대구FC,김천 상무 프로축구단,True,0,1,loss,16,0,0,16,33,29,0.27586206896551724,80,356,0.7865168539325843,74,102,35,25,1.0,63
126289,수원FC,전북 현대 모터스,True,1,1,draw,23,0,1,30,59,37,0.1891891891891892,146,621,0.9307568438003221,82,103,33,19,1.0,51
126290,포항 스틸러스,대구FC,True,3,1,win,9,0,3,8,29,14,0.07142857142857142,91,565,0.8867256637168142,79,83,46,29,1.0,90
126291,김천 상무 프로축구단,울산 HD FC,True,2,3,loss,8,0,1,17,45,23,0.13043478260869565,117,578,0.8996539792387543,97,78,21,13,1.0,62
126292,제주SK FC,대전 하나 시티즌,True,3,1,win,6,0,1,7,16,13,0.15384615384615385,68,368,0.7907608695652174,70,69,53,18,1.0,55
126294,FC서울,인천 유나이티드,True,0,0,draw,4,0,0,10,39,17,0.058823529411764705,122,643,0.9097978227060654,85,65,47,22,1.0,97
126293,광주FC,강원FC,True,4,2,win,11,0,3,7,21,15,0.2,82,449,0.8596881959910914,67,78,34,13,1.0,114
126295,대전 하나 시티즌,강원FC,True,1,1,draw,7,0,1,10,29,15,0.13333333333333333,77,411,0.8345498783454988,88,70,42,22,1.0,72
126296,대구FC,수원FC,True,1,1,draw,12,0,1,7,19,16,0.125,65,312,0.842948717948718,59,67,44,50,1.0,69
126297,FC서울,제주SK FC,True,2,0,win,5,0,1,10,27,14,0.0,81,416,0.8317307692307693,75,104,44,26,1.0,76
126299,김천 상무 프로축구단,전북 현대 모터스,True,1,0,win,5,0,1,4,19,7,0.14285714285714285,66,413,0.8305084745762712,65,80,61,32,1.0,81
